query,source,impressions,clicks,ctr,position,already_covered,matched_slug,score
cairns skin centre,both,3,0,0,59.33,False,,29.8
acne face wash,autocomplete,0,0,0.0,0.0,False,,15.0
acne medication,autocomplete,0,0,0.0,0.0,False,,15.0
acne scarf,autocomplete,0,0,0.0,0.0,False,,15.0
acne scars,autocomplete,0,0,0.0,0.0,False,,15.0
acne vulgaris,autocomplete,0,0,0.0,0.0,False,,15.0
aquafacial bar,autocomplete,0,0,0.0,0.0,False,,15.0
aquafacial before and after,autocomplete,0,0,0.0,0.0,False,,15.0
aquafacial benefits,autocomplete,0,0,0.0,0.0,False,,15.0
aquafacial laser clinics,autocomplete,0,0,0.0,0.0,False,,15.0
aquafacial machine,autocomplete,0,0,0.0,0.0,False,,15.0
aquafacial near me,autocomplete,0,0,0.0,0.0,False,,15.0
aquafacial reviews,autocomplete,0,0,0.0,0.0,False,,15.0
aquafacial treatment,autocomplete,0,0,0.0,0.0,False,,15.0
aquafacial vs hydrafacial,autocomplete,0,0,0.0,0.0,False,,15.0
aquafacial vs microdermabrasion,autocomplete,0,0,0.0,0.0,False,,15.0
bbl 2026,autocomplete,0,0,0.0,0.0,False,,15.0
bbl asx,autocomplete,0,0,0.0,0.0,False,,15.0
bbl before and after,autocomplete,0,0,0.0,0.0,False,,15.0
bbl cricket,autocomplete,0,0,0.0,0.0,False,,15.0
bbl drizzy,autocomplete,0,0,0.0,0.0,False,,15.0
bbl hero,autocomplete,0,0,0.0,0.0,False,,15.0
bbl jacket,autocomplete,0,0,0.0,0.0,False,,15.0
bbl jeans,autocomplete,0,0,0.0,0.0,False,,15.0
bbl laser,autocomplete,0,0,0.0,0.0,False,,15.0
bbl laser brisbane,autocomplete,0,0,0.0,0.0,False,,15.0
bbl meaning,autocomplete,0,0,0.0,0.0,False,,15.0
bbl privatisation,autocomplete,0,0,0.0,0.0,False,,15.0
bbl smell,autocomplete,0,0,0.0,0.0,False,,15.0
bbl surgery,autocomplete,0,0,0.0,0.0,False,,15.0
bbl teams,autocomplete,0,0,0.0,0.0,False,,15.0
cairns skin cancer,autocomplete,0,0,0.0,0.0,False,,15.0
cairns skin care,autocomplete,0,0,0.0,0.0,False,,15.0
cairns skin care centre,autocomplete,0,0,0.0,0.0,False,,15.0
cairns skin centre photos,autocomplete,0,0,0.0,0.0,False,,15.0
cairns skin check,autocomplete,0,0,0.0,0.0,False,,15.0
cairns skin doctors,autocomplete,0,0,0.0,0.0,False,,15.0
cairns skin doctors smithfield,autocomplete,0,0,0.0,0.0,False,,15.0
cairns skin specialist,autocomplete,0,0,0.0,0.0,False,,15.0
dry skin behind ear,autocomplete,0,0,0.0,0.0,False,,15.0
dry skin cream,autocomplete,0,0,0.0,0.0,False,,15.0
dry skin in ears,autocomplete,0,0,0.0,0.0,False,,15.0
dry skin moisturiser,autocomplete,0,0,0.0,0.0,False,,15.0
dry skin moisturizer,autocomplete,0,0,0.0,0.0,False,,15.0
dry skin on eyelid,autocomplete,0,0,0.0,0.0,False,,15.0
dry skin on face,autocomplete,0,0,0.0,0.0,False,,15.0
dry skin on feet,autocomplete,0,0,0.0,0.0,False,,15.0
dry skin pokemon,autocomplete,0,0,0.0,0.0,False,,15.0
dry skin under beard,autocomplete,0,0,0.0,0.0,False,,15.0
dry skin under eyes,autocomplete,0,0,0.0,0.0,False,,15.0
melasma causes,autocomplete,0,0,0.0,0.0,False,,15.0
melasma clinic brisbane,autocomplete,0,0,0.0,0.0,False,,15.0
melasma cream,autocomplete,0,0,0.0,0.0,False,,15.0
melasma dermnet,autocomplete,0,0,0.0,0.0,False,,15.0
melasma meaning,autocomplete,0,0,0.0,0.0,False,,15.0
melasma mustache,autocomplete,0,0,0.0,0.0,False,,15.0
melasma on face,autocomplete,0,0,0.0,0.0,False,,15.0
melasma pregnancy,autocomplete,0,0,0.0,0.0,False,,15.0
melasma skin,autocomplete,0,0,0.0,0.0,False,,15.0
melasma treatment,autocomplete,0,0,0.0,0.0,False,,15.0
melasma treatment brisbane,autocomplete,0,0,0.0,0.0,False,,15.0
melasma treatment cream,autocomplete,0,0,0.0,0.0,False,,15.0
melasma vs hyperpigmentation,autocomplete,0,0,0.0,0.0,False,,15.0
melasma vs pigmentation,autocomplete,0,0,0.0,0.0,False,,15.0
microdermabrasion benefits,autocomplete,0,0,0.0,0.0,False,,15.0
microdermabrasion brisbane,autocomplete,0,0,0.0,0.0,False,,15.0
microdermabrasion cairns,autocomplete,0,0,0.0,0.0,False,,15.0
microdermabrasion facial,autocomplete,0,0,0.0,0.0,False,,15.0
microdermabrasion facial near me,autocomplete,0,0,0.0,0.0,False,,15.0
microdermabrasion gold coast,autocomplete,0,0,0.0,0.0,False,,15.0
microdermabrasion machine,autocomplete,0,0,0.0,0.0,False,,15.0
microdermabrasion mackay,autocomplete,0,0,0.0,0.0,False,,15.0
microdermabrasion near me,autocomplete,0,0,0.0,0.0,False,,15.0
microdermabrasion sunshine coast,autocomplete,0,0,0.0,0.0,False,,15.0
microdermabrasion toowoomba,autocomplete,0,0,0.0,0.0,False,,15.0
microdermabrasion townsville,autocomplete,0,0,0.0,0.0,False,,15.0
microdermabrasion vs microneedling,autocomplete,0,0,0.0,0.0,False,,15.0
microdermabrasion wand,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea causes,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea cream,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea cream chemist warehouse,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea dermnet,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea nose,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea on face,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea pronunciation,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea skin,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea skin care,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea symptoms,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea triggers,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea types,autocomplete,0,0,0.0,0.0,False,,15.0
rosaceae,autocomplete,0,0,0.0,0.0,False,,15.0
