query,source,impressions,clicks,ctr,position,already_covered,matched_slug,score
bbl for sun damage wilmington nc,search_console,10,0,0,85.4,False,,16.0
dermaplaning cairns,search_console,9,0,0,62.56,False,,14.4
facial cairns,search_console,7,0,0,73,False,,11.2
skin needling cairns,search_console,24,0,0,30.75,True,skin-needling,3.84
skin needling results,search_console,24,0,0,68.38,True,fractional-rf,3.84
perioral discoloration,search_console,2,0,0,71,False,,3.2
07 4015 2917,search_console,3,0,0,3.67,False,,2.43
skin care cairns,search_console,14,0,0,83.21,True,dermatologist-vs-cosmetic-skin-clinic-cairns,2.24
skin treatment cairns,search_console,14,0,0,74.07,True,what-to-avoid-on-skin-after-treatment-in-humidity,2.24
rejuran cairns,search_console,25,1,0.04,11.76,True,rejuran,2.03
black ring around lips,search_console,1,0,0,79,False,,1.6
broad band light,search_console,1,0,0,87,False,,1.6
cairns facial,search_console,1,0,0,76,False,,1.6
cairns facials,search_console,1,0,0,70,False,,1.6
cairns laser,search_console,1,0,0,64,False,,1.6
can you take melanin to tan,search_console,1,0,0,46,False,,1.6
hydrafacial cairns,search_console,1,0,0,72,False,,1.6
hyperpigmentation near lips,search_console,1,0,0,82,False,,1.6
kleresca before and after,search_console,1,0,0,49,False,,1.6
laser clinics cairns,search_console,1,0,0,29,False,,1.57
pigmentation meaning,search_console,9,0,0,87.33,True,pigmentation,1.44
microneedling cairns,search_console,1,0,0,20,False,,1.3
laser clinics cairns central,search_console,1,0,0,15,False,,1.15
fractional rf lasers,search_console,7,0,0,62.86,True,fractional-rf,1.12
skin treatments cairns,search_console,7,0,0,75.86,True,dermatologist-vs-cosmetic-skin-clinic-cairns,1.12
rejuran skin therapy in cairns,search_console,10,0,0,11.7,True,dermatologist-vs-cosmetic-skin-clinic-cairns,1.05
aqua facial benefits,search_console,1,0,0,11,False,,1.03
bbl laser clinic,search_console,1,0,0,9,False,,0.97
cairns skin centre,search_console,6,0,0,58.5,True,dermatologist-vs-cosmetic-skin-clinic-cairns,0.96
rf fractional lasers,search_console,6,0,0,57.83,True,fractional-rf,0.96
rf fractional laser,search_console,5,0,0,52.8,True,fractional-rf,0.8
skin needling for acne,search_console,5,0,0,81.8,True,does-skin-needling-help-acne-scarring,0.8
cairns skin care,search_console,4,0,0,79.75,True,dermatologist-vs-cosmetic-skin-clinic-cairns,0.64
difference between melasma and sun spots,search_console,4,0,0,72.75,True,pigmentation-vs-melasma,0.64
rf fractional skin resurfacing,search_console,4,0,0,66.25,True,fractional-rf,0.64
what is skin needling,search_console,4,0,0,89.25,True,dermatologist-vs-cosmetic-skin-clinic-cairns,0.64
aquafacial,search_console,4,0,0,23,True,aquafacial-vs-microdermabrasion,0.56
bbl light treatment,search_console,3,0,0,91,True,bbl,0.48
cairns skin clinic,search_console,3,0,0,67.33,True,dermatologist-vs-cosmetic-skin-clinic-cairns,0.48
fractional rf laser,search_console,3,0,0,96.33,True,fractional-rf,0.48
cairns clear skin,search_console,2,0,0,41.5,True,dermatologist-vs-cosmetic-skin-clinic-cairns,0.32
clear skin cairns,search_console,2,0,0,54,True,dermatologist-vs-cosmetic-skin-clinic-cairns,0.32
difference between tan and pigmentation,search_console,2,0,0,62.5,True,pigmentation-vs-melasma,0.32
fractional rf technology,search_console,2,0,0,49,True,fractional-rf,0.32
melasma or pigmentation,search_console,2,0,0,92,True,pigmentation-vs-melasma,0.32
melasma vs pigmentation,search_console,2,0,0,90.5,True,pigmentation-vs-melasma,0.32
perioral pigmentation,search_console,2,0,0,58.5,True,what-causes-pigmentation-around-the-mouth,0.32
redness and,search_console,2,0,0,89.5,True,redness-rosacea,0.32
rejuran polynucleotide,search_console,2,0,0,98,True,rejuran,0.32
rough skin,search_console,2,0,0,73.5,True,rough-dry-skin,0.32
skin clinic cairns,search_console,2,0,0,79,True,dermatologist-vs-cosmetic-skin-clinic-cairns,0.32
what is broadband light,search_console,2,0,0,72,True,bbl,0.32
what is pigmentation,search_console,2,0,0,98.5,True,pigmentation-vs-melasma,0.32
what is rejuran treatment,search_console,2,0,0,61.5,True,what-if-pigmentation-treatment-makes-it-worse,0.32
kleresca rosacea treatment,search_console,2,0,0,27.5,True,kleresca-rosacea,0.31
rejuran laser clinics,search_console,2,0,0,8,True,rejuran,0.19
bbl broadband light,search_console,1,0,0,72,True,bbl,0.16
bbl for pigmentation,search_console,1,0,0,80,True,can-bbl-treat-sun-damage-and-pigmentation,0.16
bbl light therapy,search_console,1,0,0,84,True,led-light-therapy,0.16
bbl pigmentation,search_console,1,0,0,83,True,can-bbl-treat-sun-damage-and-pigmentation,0.16
broadband light,search_console,1,0,0,73,True,bbl,0.16
broadband light therapy,search_console,1,0,0,72,True,bbl,0.16
broadband light treatment,search_console,1,0,0,69,True,bbl,0.16
cairns laser clinic,search_console,1,0,0,36,True,dermatologist-vs-cosmetic-skin-clinic-cairns,0.16
dark skin around mouth,search_console,1,0,0,42,True,what-causes-pigmentation-around-the-mouth,0.16
dark spots under lips,search_console,1,0,0,72,True,what-if-pigmentation-treatment-makes-it-worse,0.16
fractional rf,search_console,1,0,0,100,True,fractional-rf,0.16
fractional rf skin resurfacing,search_console,1,0,0,55,True,fractional-rf,0.16
hydroquinone cream,search_console,1,0,0,98,True,is-hydroquinone-cream-safe-for-pigmentation,0.16
hyperpigmentation around mouth,search_console,1,0,0,38,True,what-causes-pigmentation-around-the-mouth,0.16
kleresca,search_console,1,0,0,48,True,what-is-kleresca-and-how-does-it-help-rosacea,0.16
kleresca treatment,search_console,1,0,0,40,True,kleresca-rosacea,0.16
meaning of pigmentation,search_console,1,0,0,75,True,pigmentation,0.16
melasma melasma,search_console,1,0,0,96,True,pigmentation-vs-melasma,0.16
melasma vs sun spots,search_console,1,0,0,79,True,melanopro-peel,0.16
pigmentation vs tanning,search_console,1,0,0,38,True,pigmentation,0.16
redness of skin,search_console,1,0,0,100,True,bbl,0.16
rejuran,search_console,1,0,0,68,True,what-is-rejuran,0.16
rejuran injection,search_console,1,0,0,50,True,rejuran,0.16
scar treatment cairns,search_console,1,0,0,58,True,what-to-avoid-on-skin-after-treatment-in-humidity,0.16
skin care centre cairns,search_console,1,0,0,65,True,dermatologist-vs-cosmetic-skin-clinic-cairns,0.16
skin clinics cairns,search_console,1,0,0,76,True,dermatologist-vs-cosmetic-skin-clinic-cairns,0.16
skin needling acne scars,search_console,1,0,0,76,True,does-skin-needling-help-acne-scarring,0.16
what does rejuran do,search_console,1,0,0,65,True,what-does-pigmentation-mean,0.16
what does skin needling do,search_console,1,0,0,91,True,does-skin-needling-help-acne-scarring,0.16
what is broadband light therapy,search_console,1,0,0,78,True,bbl,0.16
what is rejuran,search_console,1,0,0,45,True,what-is-rejuran,0.16
whats skin needling,search_console,1,0,0,82,True,does-skin-needling-help-acne-scarring,0.16
why do i have hyperpigmentation around my mouth,search_console,1,0,0,85,True,what-causes-pigmentation-around-the-mouth,0.16
why do i have pigmentation around my mouth,search_console,1,0,0,78,True,what-causes-pigmentation-around-the-mouth,0.16
what is aqua facial treatment,search_console,1,0,0,27,True,what-if-pigmentation-treatment-makes-it-worse,0.15
aquafacial benefits,search_console,1,0,0,16,True,what-are-the-real-benefits-of-an-aquafacial,0.12
laser clinic cairns central,search_console,1,0,0,14,True,dermatologist-vs-cosmetic-skin-clinic-cairns,0.11
kleresca rosacea,search_console,1,0,0,10,True,what-is-kleresca-and-how-does-it-help-rosacea,0.1
