query,source,impressions,clicks,ctr,position,already_covered,matched_slug,score
facial cairns,search_console,35,0,0,74.49,False,,56.0
dermaplaning cairns,search_console,19,0,0,60.21,False,,30.4
bbl for sun damage wilmington nc,search_console,10,0,0,85.4,False,,16.0
skin needling results,search_console,66,0,0,69.05,True,fractional-rf,10.56
cairns facials,search_console,6,0,0,70.5,False,,9.6
skin needling cairns,search_console,62,0,0,28.21,True,skin-needling,9.59
laser clinics australia cairns,search_console,5,0,0,43.4,False,,8.0
laser clinics cairns central,search_console,7,0,0,12.43,False,,7.51
laser clinics cairns,search_console,5,0,0,26.2,False,,7.43
cairns facial,search_console,4,0,0,73.5,False,,6.4
laser cairns central,search_console,6,0,0,11.67,False,,6.3
skin treatment cairns,search_console,37,0,0,70.57,True,what-to-avoid-on-skin-after-treatment-in-humidity,5.92
skin care cairns,search_console,35,0,0,77.8,True,dermatologist-vs-cosmetic-skin-clinic-cairns,5.6
rejuran cairns,search_console,50,1,0.02,14.2,True,rejuran,5.03
fractional rf lasers,search_console,31,0,0,59.65,True,fractional-rf,4.96
rf fractional lasers,search_console,31,0,0,57.58,True,fractional-rf,4.96
cairns laser,search_console,3,0,0,73,False,,4.8
skin needling for acne,search_console,22,0,0,82.77,True,does-skin-needling-help-acne-scarring,3.52
hydrafacial cairns,search_console,2,0,0,71,False,,3.2
perioral discoloration,search_console,2,0,0,71,False,,3.2
rf fractional machine,search_console,20,0,0,23.9,True,fractional-rf,2.83
rf fractional machines,search_console,18,0,0,28.94,True,fractional-rf,2.82
what is skin needling,search_console,16,0,0,83.31,True,dermatologist-vs-cosmetic-skin-clinic-cairns,2.56
07 4015 2917,search_console,3,0,0,3.67,False,,2.43
microneedling cairns,search_console,2,0,0,16.5,False,,2.39
fractional rf machines,search_console,14,0,0,35.86,True,fractional-rf,2.24
rejuran skin therapy in cairns,search_console,20,0,0,11.75,True,dermatologist-vs-cosmetic-skin-clinic-cairns,2.1
cairns skin clinic,search_console,13,0,0,66.92,True,dermatologist-vs-cosmetic-skin-clinic-cairns,2.08
fractional rf laser device,search_console,12,0,0,59.75,True,fractional-rf,1.92
skin treatments cairns,search_console,12,0,0,79.5,True,dermatologist-vs-cosmetic-skin-clinic-cairns,1.92
rf fractional laser device,search_console,11,0,0,47.82,True,fractional-rf,1.76
bbl sunspots,search_console,1,0,0,66,False,,1.6
black ring around lips,search_console,1,0,0,79,False,,1.6
broad band light,search_console,1,0,0,87,False,,1.6
can tanning even out hyperpigmentation,search_console,1,0,0,48,False,,1.6
can you take melanin to tan,search_console,1,0,0,46,False,,1.6
facials in cairns,search_console,1,0,0,63,False,,1.6
fractional rf laser devices,search_console,10,0,0,44.2,True,fractional-rf,1.6
hyperpigmentation near lips,search_console,1,0,0,82,False,,1.6
kleresca before and after,search_console,1,0,0,49,False,,1.6
sensitive skin vs rosacea,search_console,1,0,0,84,False,,1.6
skinneedling,search_console,1,0,0,95,False,,1.6
