query,source,impressions,clicks,ctr,position,already_covered,matched_slug,score
facial cairns,search_console,46,0,0,74.89,False,,73.6
dermaplaning cairns,search_console,28,0,0,58.93,False,,44.8
laser clinics cairns,search_console,11,0,0,25.45,False,,16.1
bbl for sun damage wilmington nc,search_console,10,0,0,85.4,False,,16.0
laser clinics cairns central,search_console,13,0,0,15.62,False,,15.19
cairns facials,search_console,9,0,0,67.67,False,,14.4
skin needling results,search_console,77,0,0,67.74,True,fractional-rf,12.32
skin needling cairns,search_console,78,0,0,24.72,True,skin-needling,11.24
laser clinics australia cairns,search_console,6,0,0,42.33,False,,9.6
laser cairns central,search_console,8,0,0,11.75,False,,8.42
skin treatment cairns,search_console,45,0,0,68.76,True,what-to-avoid-on-skin-after-treatment-in-humidity,7.2
skin care cairns,search_console,42,0,0,76.26,True,dermatologist-vs-cosmetic-skin-clinic-cairns,6.72
cairns facial,search_console,4,0,0,73.5,False,,6.4
cairns laser,search_console,4,0,0,67.75,False,,6.4
fractional rf lasers,search_console,40,0,0,58.23,True,fractional-rf,6.4
rf fractional lasers,search_console,38,0,0,56.61,True,fractional-rf,6.08
rejuran cairns,search_console,57,1,0.0175,13.96,True,rejuran,5.78
microneedling cairns,search_console,5,0,0,14.4,False,,5.66
rf fractional machine,search_console,31,0,0,25.77,True,fractional-rf,4.57
skin needling for acne,search_console,28,0,0,82.21,True,does-skin-needling-help-acne-scarring,4.48
rf fractional machines,search_console,23,0,0,30,True,fractional-rf,3.68
cairns laser clinics,search_console,2,0,0,32,False,,3.2
facials cairns,search_console,2,0,0,68.5,False,,3.2
facials in cairns,search_console,2,0,0,65,False,,3.2
hydrafacial cairns,search_console,2,0,0,71,False,,3.2
perioral discoloration,search_console,2,0,0,71,False,,3.2
skin treatments cairns,search_console,20,0,0,64,True,dermatologist-vs-cosmetic-skin-clinic-cairns,3.2
what is skin needling,search_console,20,0,0,82.9,True,dermatologist-vs-cosmetic-skin-clinic-cairns,3.2
fractional rf laser device,search_console,19,0,0,55.84,True,fractional-rf,3.04
fractional rf machines,search_console,19,0,0,42.58,True,fractional-rf,3.04
fractional rf laser devices,search_console,18,0,0,41.67,True,fractional-rf,2.88
rf fractional laser device,search_console,17,0,0,46.65,True,fractional-rf,2.72
cairns skin clinic,search_console,16,0,0,63.38,True,dermatologist-vs-cosmetic-skin-clinic-cairns,2.56
rejuran skin therapy in cairns,search_console,24,0,0,11.21,True,dermatologist-vs-cosmetic-skin-clinic-cairns,2.49
07 4015 2917,search_console,3,0,0,3.67,False,,2.43
rejuran polynucleotide,search_console,13,0,0,76.69,True,rejuran,2.08
laser clinic cairns central,search_console,20,0,0,11.3,True,dermatologist-vs-cosmetic-skin-clinic-cairns,2.08
rejuran injection,search_console,12,0,0,65.92,True,rejuran,1.92
skin care centre cairns,search_console,12,0,0,57,True,dermatologist-vs-cosmetic-skin-clinic-cairns,1.92
skin needling benefits,search_console,11,0,0,84.18,True,skin-needling,1.76
bbl sunspots,search_console,1,0,0,66,False,,1.6
black ring around lips,search_console,1,0,0,79,False,,1.6
broad band light,search_console,1,0,0,87,False,,1.6
cairns clear skin,search_console,10,0,0,46.8,True,dermatologist-vs-cosmetic-skin-clinic-cairns,1.6
cairns skin centre,search_console,10,0,0,56.5,True,dermatologist-vs-cosmetic-skin-clinic-cairns,1.6
can tanning even out hyperpigmentation,search_console,1,0,0,48,False,,1.6
can you take melanin to tan,search_console,1,0,0,46,False,,1.6
co2 laser cairns,search_console,1,0,0,63,False,,1.6
hyperpigmentation near lips,search_console,1,0,0,82,False,,1.6
kleresca before and after,search_console,1,0,0,49,False,,1.6
laser cairns,search_console,1,0,0,46,False,,1.6
microneedle scar treatment,search_console,1,0,0,66,False,,1.6
microneedling for scars,search_console,1,0,0,74,False,,1.6
microneedling scar removal,search_console,1,0,0,84,False,,1.6
microneedling scar treatment,search_console,1,0,0,77,False,,1.6
needling scars,search_console,1,0,0,82,False,,1.6
rejuran treatment,search_console,10,0,0,31.2,True,rejuran,1.6
sensitive skin vs rosacea,search_console,1,0,0,84,False,,1.6
skinneedling,search_console,1,0,0,95,False,,1.6
cairns skin care,search_console,9,0,0,76.22,True,dermatologist-vs-cosmetic-skin-clinic-cairns,1.44
pigmentation meaning,search_console,9,0,0,87.33,True,pigmentation,1.44
skin clinics cairns,search_console,9,0,0,72,True,dermatologist-vs-cosmetic-skin-clinic-cairns,1.44
fractional rf laser machine,search_console,8,0,0,30,True,fractional-rf,1.28
laser hair removal cairns,search_console,8,0,0,65.88,True,is-laser-hair-removal-safe-on-tanned-skin,1.28
scar treatment cairns,search_console,8,0,0,33.88,True,what-to-avoid-on-skin-after-treatment-in-humidity,1.28
laser clinics australia cairns central,search_console,1,0,0,16,False,,1.18
skin clinic cairns,search_console,7,0,0,67.57,True,dermatologist-vs-cosmetic-skin-clinic-cairns,1.12
laser clinic cairns,search_console,7,0,0,28.71,True,dermatologist-vs-cosmetic-skin-clinic-cairns,1.09
aqua facial benefits,search_console,1,0,0,11,False,,1.03
