query,source,impressions,clicks,ctr,position,already_covered,matched_slug,score
facial cairns,search_console,31,0,0,74.39,False,,49.6
dermaplaning cairns,search_console,17,0,0,60.76,False,,27.2
bbl for sun damage wilmington nc,search_console,10,0,0,85.4,False,,16.0
acne face wash,autocomplete,0,0,0.0,0.0,False,,15.0
acne medication,autocomplete,0,0,0.0,0.0,False,,15.0
acne vulgaris,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea causes,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea cream,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea cream chemist warehouse,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea dermnet,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea nose,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea on face,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea pronunciation,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea skin,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea skin care,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea symptoms,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea triggers,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea types,autocomplete,0,0,0.0,0.0,False,,15.0
rosaceae,autocomplete,0,0,0.0,0.0,False,,15.0
skin needling results,search_console,61,0,0,71.11,True,fractional-rf,9.76
skin needling cairns,search_console,57,0,0,29.75,True,skin-needling,9.08
cairns facials,search_console,5,0,0,73,False,,8.0
laser clinics australia cairns,search_console,5,0,0,43.4,False,,8.0
laser clinics cairns central,search_console,7,0,0,12.43,False,,7.51
laser clinics cairns,search_console,5,0,0,26.2,False,,7.43
cairns facial,search_console,4,0,0,73.5,False,,6.4
skin treatment cairns,search_console,35,0,0,71.37,True,what-to-avoid-on-skin-after-treatment-in-humidity,5.6
skin care cairns,search_console,33,0,0,79.3,True,dermatologist-vs-cosmetic-skin-clinic-cairns,5.28
rejuran cairns,search_console,49,1,0.0204,14.12,True,rejuran,4.91
cairns laser,search_console,3,0,0,73,False,,4.8
fractional rf lasers,search_console,30,0,0,59.93,True,fractional-rf,4.8
rf fractional lasers,search_console,29,0,0,58.45,True,fractional-rf,4.64
laser cairns central,search_console,4,0,0,11.25,False,,4.15
pigmentation meaning,both,9,0,0,87.33,True,pigmentation,3.94
hydrafacial cairns,search_console,2,0,0,71,False,,3.2
perioral discoloration,search_console,2,0,0,71,False,,3.2
skin needling for acne,search_console,19,0,0,83.26,True,does-skin-needling-help-acne-scarring,3.04
07 4015 2917,search_console,3,0,0,3.67,False,,2.43
microneedling cairns,search_console,2,0,0,16.5,False,,2.39
rf fractional machines,search_console,13,0,0,33.08,True,fractional-rf,2.08
rejuran skin therapy in cairns,search_console,19,0,0,11.89,True,dermatologist-vs-cosmetic-skin-clinic-cairns,2.01
cairns skin clinic,search_console,12,0,0,68.75,True,dermatologist-vs-cosmetic-skin-clinic-cairns,1.92
skin treatments cairns,search_console,12,0,0,79.5,True,dermatologist-vs-cosmetic-skin-clinic-cairns,1.92
rf fractional machine,search_console,12,0,0,26.42,True,fractional-rf,1.79
fractional rf machines,search_console,11,0,0,38.73,True,fractional-rf,1.76
bbl sunspots,search_console,1,0,0,66,False,,1.6
black ring around lips,search_console,1,0,0,79,False,,1.6
broad band light,search_console,1,0,0,87,False,,1.6
can tanning even out hyperpigmentation,search_console,1,0,0,48,False,,1.6
can you take melanin to tan,search_console,1,0,0,46,False,,1.6
facials in cairns,search_console,1,0,0,63,False,,1.6
hyperpigmentation near lips,search_console,1,0,0,82,False,,1.6
kleresca before and after,search_console,1,0,0,49,False,,1.6
sensitive skin vs rosacea,search_console,1,0,0,84,False,,1.6
skinneedling,search_console,1,0,0,95,False,,1.6
acne cream,autocomplete,0,0,0.0,0.0,True,which-acne-cream-ingredients-actually-work,1.5
acne scar treatment,autocomplete,0,0,0.0,0.0,True,led-light-therapy,1.5
acne scars,autocomplete,0,0,0.0,0.0,True,acne-scarring,1.5
acne treatment,autocomplete,0,0,0.0,0.0,True,led-light-therapy,1.5
enlarged pores before and after,autocomplete,0,0,0.0,0.0,True,enlarged-pores,1.5
enlarged pores causes,autocomplete,0,0,0.0,0.0,True,enlarged-pores,1.5
enlarged pores meaning in hindi,autocomplete,0,0,0.0,0.0,True,enlarged-pores,1.5
enlarged pores means,autocomplete,0,0,0.0,0.0,True,enlarged-pores,1.5
enlarged pores on breast,autocomplete,0,0,0.0,0.0,True,enlarged-pores,1.5
enlarged pores on cheeks,autocomplete,0,0,0.0,0.0,True,enlarged-pores,1.5
enlarged pores on face,autocomplete,0,0,0.0,0.0,True,enlarged-pores,1.5
enlarged pores on face treatment,autocomplete,0,0,0.0,0.0,True,enlarged-pores,1.5
enlarged pores on forehead,autocomplete,0,0,0.0,0.0,True,enlarged-pores,1.5
enlarged pores on nose,autocomplete,0,0,0.0,0.0,True,enlarged-pores,1.5
enlarged pores on nose treatment,autocomplete,0,0,0.0,0.0,True,enlarged-pores,1.5
enlarged pores reddit,autocomplete,0,0,0.0,0.0,True,enlarged-pores,1.5
enlarged pores serum,autocomplete,0,0,0.0,0.0,True,enlarged-pores,1.5
enlarged pores treatment,autocomplete,0,0,0.0,0.0,True,enlarged-pores,1.5
enlarged pores vs acne scars,autocomplete,0,0,0.0,0.0,True,acne-scarring,1.5
melasma causes,autocomplete,0,0,0.0,0.0,True,melasma,1.5
melasma clinic brisbane,autocomplete,0,0,0.0,0.0,True,melanopro-peel,1.5
melasma cream,autocomplete,0,0,0.0,0.0,True,melasma,1.5
melasma dermnet,autocomplete,0,0,0.0,0.0,True,melasma,1.5
melasma hyperpigmentation,autocomplete,0,0,0.0,0.0,True,melasma,1.5
melasma laser treatment,autocomplete,0,0,0.0,0.0,True,capillary-reduction,1.5
melasma meaning,autocomplete,0,0,0.0,0.0,True,melasma,1.5
melasma mustache,autocomplete,0,0,0.0,0.0,True,melasma,1.5
melasma on face,autocomplete,0,0,0.0,0.0,True,melasma,1.5
melasma pregnancy,autocomplete,0,0,0.0,0.0,True,melasma,1.5
melasma skin,autocomplete,0,0,0.0,0.0,True,melasma,1.5
melasma treatment,autocomplete,0,0,0.0,0.0,True,melasma,1.5
melasma treatment brisbane,autocomplete,0,0,0.0,0.0,True,melasma,1.5
melasma treatment cream,autocomplete,0,0,0.0,0.0,True,melasma,1.5
melasma vs hyperpigmentation,autocomplete,0,0,0.0,0.0,True,melasma,1.5
pigmentation around mouth,autocomplete,0,0,0.0,0.0,True,what-causes-pigmentation-around-the-mouth,1.5
pigmentation cream chemist warehouse,autocomplete,0,0,0.0,0.0,True,is-hydroquinone-cream-safe-for-pigmentation,1.5
pigmentation laser,autocomplete,0,0,0.0,0.0,True,pigmentation,1.5
pigmentation laser treatment,autocomplete,0,0,0.0,0.0,True,can-i-get-pigmentation-treatment-with-a-tan,1.5
pigmentation live,autocomplete,0,0,0.0,0.0,True,pigmentation,1.5
pigmentation on face,autocomplete,0,0,0.0,0.0,True,pigmentation,1.5
pigmentation on face treatment,autocomplete,0,0,0.0,0.0,True,can-i-get-pigmentation-treatment-with-a-tan,1.5
pigmentation removal,autocomplete,0,0,0.0,0.0,True,pigmentation-removal,1.5
pigmentation removal brisbane,autocomplete,0,0,0.0,0.0,True,pigmentation-removal,1.5
pigmentation removal cream,autocomplete,0,0,0.0,0.0,True,is-hydroquinone-cream-safe-for-pigmentation,1.5
pigmentation removal laser,autocomplete,0,0,0.0,0.0,True,is-laser-hair-removal-safe-on-tanned-skin,1.5
pigmentation serum,autocomplete,0,0,0.0,0.0,True,pigmentation,1.5
pigmentation skin,autocomplete,0,0,0.0,0.0,True,pigmentation,1.5
pigmentation treatment,autocomplete,0,0,0.0,0.0,True,can-i-get-pigmentation-treatment-with-a-tan,1.5
rosacea laser treatment,autocomplete,0,0,0.0,0.0,True,capillary-reduction,1.5
rosacea treatment,autocomplete,0,0,0.0,0.0,True,kleresca-rosacea,1.5
fractional rf laser device,search_console,9,0,0,62.22,True,fractional-rf,1.44
fractional rf laser devices,search_console,9,0,0,47.11,True,fractional-rf,1.44
rf fractional laser device,search_console,9,0,0,48.67,True,fractional-rf,1.44
what is skin needling,search_console,9,0,0,92.11,True,dermatologist-vs-cosmetic-skin-clinic-cairns,1.44
rejuran polynucleotide,search_console,8,0,0,86.88,True,rejuran,1.28
cairns skin care,search_console,7,0,0,79.29,True,dermatologist-vs-cosmetic-skin-clinic-cairns,1.12
cairns skin centre,search_console,7,0,0,58.43,True,dermatologist-vs-cosmetic-skin-clinic-cairns,1.12
laser hair removal cairns,search_console,7,0,0,70,True,is-laser-hair-removal-safe-on-tanned-skin,1.12
aqua facial benefits,search_console,1,0,0,11,False,,1.03
bbl laser clinic,search_console,1,0,0,9,False,,0.97
cairns clear skin,search_console,6,0,0,46.5,True,dermatologist-vs-cosmetic-skin-clinic-cairns,0.96
rejuran injection,search_console,6,0,0,67.67,True,rejuran,0.96
clear skin cairns,search_console,5,0,0,51.8,True,dermatologist-vs-cosmetic-skin-clinic-cairns,0.8
rf fractional laser,search_console,5,0,0,52.8,True,fractional-rf,0.8
skin care centre cairns,search_console,5,0,0,58.4,True,dermatologist-vs-cosmetic-skin-clinic-cairns,0.8
skin clinics cairns,search_console,5,0,0,80.8,True,dermatologist-vs-cosmetic-skin-clinic-cairns,0.8
difference between melasma and sun spots,search_console,4,0,0,72.75,True,pigmentation-vs-melasma,0.64
fractional rf laser machine,search_console,4,0,0,36,True,fractional-rf,0.64
rf fractional skin resurfacing,search_console,4,0,0,66.25,True,fractional-rf,0.64
scar treatment cairns,search_console,4,0,0,50.5,True,what-to-avoid-on-skin-after-treatment-in-humidity,0.64
skin clinic cairns,search_console,4,0,0,76,True,dermatologist-vs-cosmetic-skin-clinic-cairns,0.64
aquafacial,search_console,4,0,0,23,True,aquafacial-vs-microdermabrasion,0.56
bbl light treatment,search_console,3,0,0,91,True,bbl,0.48
cairns laser clinic,search_console,3,0,0,51,True,dermatologist-vs-cosmetic-skin-clinic-cairns,0.48
fractional rf laser,search_console,3,0,0,96.33,True,fractional-rf,0.48
skin needling for acne scars,search_console,3,0,0,86.33,True,does-skin-needling-help-acne-scarring,0.48
what does skin needling do,search_console,3,0,0,86,True,does-skin-needling-help-acne-scarring,0.48
what is rejuran treatment,search_console,3,0,0,74.33,True,what-if-pigmentation-treatment-makes-it-worse,0.48
collagen induction therapy for acne scars,search_console,2,0,0,97.5,True,acne-scarring,0.32
difference between tan and pigmentation,search_console,2,0,0,62.5,True,pigmentation-vs-melasma,0.32
fractional rf technology,search_console,2,0,0,49,True,fractional-rf,0.32
is pigmentation and tanning same,search_console,2,0,0,83.5,True,pigmentation,0.32
laser clinic cairns,search_console,2,0,0,32,True,dermatologist-vs-cosmetic-skin-clinic-cairns,0.32
melasma or pigmentation,search_console,2,0,0,92,True,pigmentation-vs-melasma,0.32
melasma vs pigmentation,search_console,2,0,0,90.5,True,pigmentation-vs-melasma,0.32
perioral pigmentation,search_console,2,0,0,58.5,True,what-causes-pigmentation-around-the-mouth,0.32
redness and,search_console,2,0,0,89.5,True,redness-rosacea,0.32
rejuran ashburton,search_console,2,0,0,84,True,rejuran,0.32
rough skin,search_console,2,0,0,73.5,True,rough-dry-skin,0.32
skin needling acne scars,search_console,2,0,0,79.5,True,does-skin-needling-help-acne-scarring,0.32
what is broadband light,search_console,2,0,0,72,True,bbl,0.32
what is pigmentation,search_console,2,0,0,98.5,True,pigmentation-vs-melasma,0.32
kleresca rosacea treatment,search_console,2,0,0,27.5,True,kleresca-rosacea,0.31
laser clinic cairns central,search_console,2,0,0,13,True,dermatologist-vs-cosmetic-skin-clinic-cairns,0.22
rejuran laser clinics,search_console,2,0,0,8,True,rejuran,0.19
advanced skin rejuvenation treatments in cairns,search_console,1,0,0,72,True,dermatologist-vs-cosmetic-skin-clinic-cairns,0.16
bbl broadband light,search_console,1,0,0,72,True,bbl,0.16
bbl for pigmentation,search_console,1,0,0,80,True,can-bbl-treat-sun-damage-and-pigmentation,0.16
bbl for sun damage,search_console,1,0,0,84,True,can-bbl-treat-sun-damage-and-pigmentation,0.16
bbl light therapy,search_console,1,0,0,84,True,led-light-therapy,0.16
bbl pigmentation,search_console,1,0,0,83,True,can-bbl-treat-sun-damage-and-pigmentation,0.16
bbl sun damage,search_console,1,0,0,75,True,can-bbl-treat-sun-damage-and-pigmentation,0.16
broadband light,search_console,1,0,0,73,True,bbl,0.16
broadband light therapy,search_console,1,0,0,72,True,bbl,0.16
broadband light treatment,search_console,1,0,0,69,True,bbl,0.16
collagen induction therapy acne scars,search_console,1,0,0,97,True,acne-scarring,0.16
croydon laser and skin clinic,search_console,1,0,0,62,True,dermatologist-vs-cosmetic-skin-clinic-cairns,0.16
dark skin around mouth,search_console,1,0,0,42,True,what-causes-pigmentation-around-the-mouth,0.16
dark spots under lips,search_console,1,0,0,72,True,what-if-pigmentation-treatment-makes-it-worse,0.16
fractional rf,search_console,1,0,0,100,True,fractional-rf,0.16
fractional rf skin resurfacing,search_console,1,0,0,55,True,fractional-rf,0.16
hydroquinone cream,search_console,1,0,0,98,True,is-hydroquinone-cream-safe-for-pigmentation,0.16
hyperpigmentation around mouth,search_console,1,0,0,38,True,what-causes-pigmentation-around-the-mouth,0.16
is tan and pigmentation same,search_console,1,0,0,76,True,pigmentation,0.16
kleresca,search_console,1,0,0,48,True,what-is-kleresca-and-how-does-it-help-rosacea,0.16
kleresca treatment,search_console,1,0,0,40,True,kleresca-rosacea,0.16
laser clinic australia cairns,search_console,1,0,0,56,True,dermatologist-vs-cosmetic-skin-clinic-cairns,0.16
meaning of pigmentation,search_console,1,0,0,75,True,pigmentation,0.16
melasma melasma,search_console,1,0,0,96,True,pigmentation-vs-melasma,0.16
melasma vs sun spots,search_console,1,0,0,79,True,melanopro-peel,0.16
pigmentation vs tan,search_console,1,0,0,65,True,can-bbl-treat-sun-damage-and-pigmentation,0.16
pigmentation vs tanning,search_console,1,0,0,38,True,pigmentation,0.16
redness of skin,search_console,1,0,0,100,True,bbl,0.16
rejuran,search_console,1,0,0,68,True,what-is-rejuran,0.16
what does rejuran do,search_console,1,0,0,65,True,what-does-pigmentation-mean,0.16
what is broadband light therapy,search_console,1,0,0,78,True,bbl,0.16
what is rejuran,search_console,1,0,0,45,True,what-is-rejuran,0.16
whats skin needling,search_console,1,0,0,82,True,does-skin-needling-help-acne-scarring,0.16
why do i have hyperpigmentation around my mouth,search_console,1,0,0,85,True,what-causes-pigmentation-around-the-mouth,0.16
why do i have pigmentation around my mouth,search_console,1,0,0,78,True,what-causes-pigmentation-around-the-mouth,0.16
what is aqua facial treatment,search_console,1,0,0,27,True,what-if-pigmentation-treatment-makes-it-worse,0.15
aquafacial benefits,search_console,1,0,0,16,True,what-are-the-real-benefits-of-an-aquafacial,0.12
why is my skin darker around my mouth,search_console,1,0,0,11,True,what-causes-pigmentation-around-the-mouth,0.1
kleresca rosacea,search_console,1,0,0,10,True,what-is-kleresca-and-how-does-it-help-rosacea,0.1
cairns laser clinic cairns central,search_console,1,0,0,9,True,dermatologist-vs-cosmetic-skin-clinic-cairns,0.1
